CitizenID,Name,BirthDate,Nationality,Address,VotingStatus,PassportNumber,TaxID,MaritalStatus,CriminalRecord,EducationLevel,Income,ImmigrationYear
CIT_001,Allen Novak,16-06-1968,United States,"597 Carr Creek Apt. 464; West Andrew; NE 76236,",No,460200468,Unknown/None,Married,No,High School,42533.54,Unknown/None
CIT_002,Tamara Ramsey,02-11-1987,France,"3899 Medina Roads; Crystaltown; NY 04112,",No,INVALID_our,TAX-002-36,Single,No,Masters,28175.78,Unknown/None
CIT_003,David Williams,15-12-1937,India,"03064 Eric Ferry; Port Rebecca; AZ 09961,",Yes,E48182721,TAX-003-03,Widowed,Unknown/None,High School,143299.35,1986.0
CIT_004,Desiree Willis,24-03-1991,United States,"773 Perry Flats; East Michael; WY 77221,",Yes,O98365870,TAX_004_11,Married,No,Doctorate,105629.33,Unknown/None
CIT_005,Terry Gill,15-10-2000,France,"214 Michael Crescent Suite 393, New Paulport, TN 16258",No,R72171677,TAX-005-00,Single,Pending,PhD,117985.07,2005.0
CIT_006,William Lawrence,07-02-1987,France,"74225 Davis Unions Apt. 291, Kennethborough, PR 65314",Yes,249514851,TAX-006-40,Single,Unknown/None,Masters,46901.9,Unknown/None
CIT_007,Joshua Booth,04-04-1935,India,"4164 Freeman Rue Suite 905; New Scottshire; KY 19947,",Yes,882073399,TAX-007-02,Married,Yes,Doctorate,89183.65,Unknown/None
CIT_008,Michelle Houston,18-02-2004,India,"5228 Streetevens Road Suite 196; Julialand; AL 47782,",Yes,Z46703921,TAX-008-43,Unknown,Unknown/None,Bachelors,73665.02,Unknown/None
CIT_009,Alicia Haas Dvm,07-06-1964,France,"621 Daniel Port Suite 599, Ryanview, OK 00777",Yes,V24657457,TAX-009-68,Widowed,Unknown/None,Doctorate,61761.26,Unknown/None
CIT_010,Nicole Cox,22-10-1951,India,"042 Terrell Groves Apt. 507; West William; MN 23623,",Yes,X63651777,Unknown/None,Widowed,Unknown/None,Doctorate,106263.85,Unknown/None
CIT_011,Elizabeth Lee,18-02-1956,France,"61221 Mendez Ridge Apt. 804, South Joshuaport, MI 13313",No,017016783,TAX_011_67,Unknown,Yes,High School,36820.38,Unknown/None
CIT_012,Ernest Turner,31-07-2006,United States,"68424 Watts Crest Suite 859, New Haleymouth, UT 38556",Yes,A44706123,Unknown/None,Married,No,PhD,139269.52,Unknown/None
CIT_013,Brian Cook,05-02-1946,United States,"4463 Johnson Parkways; Williammouth; AS 03920,",Yes,U09117735,TAX-013-78,Widowed,Unknown/None,High School,49851.21,Unknown/None
CIT_014,Lisa Owens,23-01-2004,France,"024 Conner Shore Suite 909; Port Kyleberg; OK 56928,",No,V97112692,TAX-014-07,Single,Unknown/None,High School,61816.94,1987.0
CIT_015,Timothy Mahoney,07-05-1958,India,"81953 Katherine Street, East James, WV 51023",Unknown,K01721100,TAX-015-67,Unknown,Unknown/None,High School,139878.43,Unknown/None
CIT_016,William Rodriguez,02-11-1959,India,"15815 Malone Square; Holmesshire; ND 30618,",Unknown,INVALID_value,TAX-016-57,Widowed,No,Doctorate,65796.29,Unknown/None
CIT_017,Melissa Ramos,16-08-1997,India,"276 Jennifer Road Suite 616, West Mary, CA 60242",Unknown,792689374,TAX_017_09,Single,Yes,PhD,33169.3,1971.0
CIT_018,David Reyes,01-08-1965,United States,"4984 Susan Greens, Lake Melissa, WY 43161",Yes,INVALID_community,TAX-018-52,Unknown,Unknown/None,Bachelors,57171.05,Unknown/None
CIT_019,Gabriel Mason Jr.,Unknown/Invalid Format,India,"9738 Mathis Crest; Aliciaton; ME 81474,",Yes,B68660020,TAX_019_93,Married,Unknown/None,Masters,103732.87,Unknown/None
CIT_020,Brian Fernandez,17-04-1985,France,"85773 Peter Turnpike Suite 396, New Peggy, AS 70062",Yes,680185893,TAX_020_94,Widowed,Pending,High School,69043.2,Unknown/None
CIT_021,Mark Strickland,16-01-1980,India,"050 Loretta Parks Apt. 355, Danielbury, MH 86416",Yes,M30326905,TAX-021-45,Married,Unknown/None,Bachelors,53868.8,1956.0
CIT_022,Sabrina Hernandez,22-12-1979,France,"007 Good Skyway Apt. 182, North Erin, AL 95116",Yes,INVALID_hotel,TAX-022-30,Married,Unknown/None,High School,95421.08,1974.0
CIT_023,Sarah King,09-08-1970,United States,"50230 Joshua Isle Apt. 566, Lake Mitchellborough, KS 43917",Unknown,INVALID_style,TAX-023-17,Single,Unknown/None,Masters,145029.63,Unknown/None
CIT_024,Mark Payne,21-08-1997,India,"86345 Mccoy Route Apt. 226, New Paige, ID 86798",No,Y00267928,TAX-024-16,Widowed,Unknown/None,High School,18638.51,Unknown/None
CIT_025,Christopher Small,07-01-1956,India,"7779 Fields Manor, Herrerastad, GA 69867",Yes,M10831218,TAX-025-10,Single,Unknown/None,Doctorate,44102.78,Unknown/None
CIT_026,Sara Smith,05-04-1951,France,"9569 Williams Points Suite 890, Donnaberg, PA 61098",Yes,I84284356,TAX-026-60,Single,Unknown/None,High School,90966.6,1973.0
CIT_027,Robert Blake,10-09-1976,India,"15177 Carl Highway Apt. 633, Schmidtchester, KS 69877",Yes,260844446,TAX-027-43,Married,Yes,Bachelors,75541.19,1996.0
CIT_028,Brian Hancock,13-10-1969,United States,"188 Le Point Suite 436, Brayland, WA 78972",Yes,548950525,TAX-028-28,Widowed,Pending,Bachelors,17630.23,Unknown/None
CIT_029,Nicholas Thompson,09-04-2001,United States,"12635 Solomon Branch Suite 003; Port Gregory; SC 10655,",Yes,W05794857,TAX-029-42,Divorced,Unknown/None,Masters,36842.95,Unknown/None
CIT_030,Elizabeth Potter,31-03-1935,United States,"345 Juan Bridge, Michaelfort, UT 54145",Yes,H67417665,TAX-030-26,Married,No,PhD,49301.19,Unknown/None
CIT_063,James Green,22-07-1939,United States,"07114 Johnson Spring; Jonathanville; AZ 66791,",Yes,744748835,TAX-031-90,Divorced,No,PhD,62826.07,Unknown/None
CIT_032,Karen Perez,06-09-1941,United States,"5678 Stanley Mission, West Alex, DC 14853",No,Y52366739,Unknown/None,Divorced,No,PhD,60187.04,Unknown/None
CIT_033,Barbara Hudson,17-09-1990,India,"USNV Horton, FPO AA 33271",No,F04179039,TAX_033_94,Unknown,Pending,PhD,14214.93,Unknown/None
CIT_034,Kenneth White,14-03-1942,United States,"51191 Short Passage Suite 706, Mckinneyborough, OR 01530",No,R26988177,TAX-034-72,Single,Pending,High School,70957.67,Unknown/None
CIT_035,Melissa Lawson,30-07-1989,India,"12799 Ryan Spur, Trevinobury, HI 05133",Yes,H22862824,TAX-035-68,Unknown,No,Doctorate,51412.31,2017.0
CIT_036,Bianca Romero,28-09-1989,France,"691 Timothy Parkway Apt. 832, Hatfieldstad, MI 07476",Yes,322524765,TAX-036-67,Married,Yes,High School,137828.92,Unknown/None
